ID,interaction_mark,colour_mark,aid_mark,total mark,gestalt_mark,language mark
1,7.2,6.5,8.5,78,6.8,6.1
2,5,6.5,6.5,71,6.8,7
3,5.8,5.5,7.5,71,6.1,6.8
4,7.2,7.4,9.5,70,7.6,6.8
5,6.8,5.8,6.2,55,6.5,6.5
6,7.6,5.8,8.5,72,7.2,6.5
7,7.2,6.8,8.5,68,7,7.6
8,6.8,7.4,6.8,70,6.8,6.5
9,6.3,6.8,6.8,61,6.3,6.5
10,7.2,5.5,8.2,81,7.6,6.5
11,5.8,5.8,5.7,57,6.5,6.5
12,6.8,4.2,7.8,72,6.8,6.8
13,6.8,6.1,5.8,60,6.3,6.5
14,6.8,6.1,7.2,61,6.3,6.5
15,6.3,6.1,7.5,62,6.3,6.8
16,6.8,5.8,7.5,58,5.8,6.1
17,6.8,5.1,5.8,50,5.1,5.8
18,7.2,6.5,8.2,78,6.8,6.5
